location,line,message
/TEI[1],,"The xml:id of the TEI element should be equal to the name of the file, without the file extension. Currently the value of xml:id is ""step_A3DOBP"" whilst the file name is ""step_A3DOBP.xml"""
/TEI[1],,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchStep"""
/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],50,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[1],89,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[2],90,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[3],91,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[4],92,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[5],93,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[6],94,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[7],95,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[8],96,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[9],99,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[10],102,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[11],103,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[12],104,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[13],105,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[14],106,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[15],107,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[16],108,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[17],109,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[18],110,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[19],111,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/teiHeader[1]/fileDesc[1]/titleStmt[1],8,The main sponsor of the SSK is the PARTHENOS project. All scenarios and steps should record this information.
/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],45,"sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
